Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"303623";"62638374000194";"CENTRO TRASMONTANO DE SAO PAULO";"CENTRO TRASMONTANO DE SAO PAULO";"Medicina de Grupo";"RUA TABATINGUERA";"294";;"CENTRO";"SÃ£o Paulo";"SP";"01020903";"11";"31181519";"31151515";"ans@trasmontano.com.br";"FERNANDO JOSÃ‰ MOREDO";"PRESIDENTE";4;"1998-12-22"
"401871";"64928609000108";"CEORP - CENTRO ODONTOLOGICO LTDA";"CEORP";"Odontologia de Grupo";"RUA DUQUE DE CAXIAS";"1453";;"CENTRO";"RibeirÃ£o Preto";"SP";"14015020";"16";"36105362";"36105362";"ceorp@terra.com.br";"NATHALIA BIAGINI SÃ MOSNA MACHADO";"ADMINISTRADOR";6;"1999-03-11"
"324892";"43776491000170";"CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃƒO PAULO";"CETESB";"AutogestÃ£o";"AV. PROFESSOR FREDERICO HERMANN JUNIOR";"345";;"ALTO DOS PINHEIROS";"SÃ£o Paulo";"SP";"05459900";"11";"31333451";;"ar_cetesb@sp.gov.br";"THALES ANDRES CARRA";"GERENTE DO DEPTO. DE GESTÃƒO RH";2;"1998-12-29"
"310247";"88645403000139";"CIRCULO OPERARIO CAXIENSE";"CIRCULO OPERARIO CAXIENSE";"Medicina de Grupo";"RUA VISCONDE DE PELOTAS";"809";;"CENTRO";"Caxias do Sul";"RS";"95020181";"54";"21010000";"542233491";"regulacaoprodutos@circulosaude.com.br";"ALESSANDRO DANIEL CAVAGNOLLI";"DIRETOR GERAL";5;"1998-12-24"
"423963";"40432544000147";"CLARO S.A";"CLARO";"AutogestÃ£o";"R HENRI DUNANT";"780";"TORRE A E TORRE B";"SANTO AMARO";"SÃ£o Paulo";"SP";"04709110";;;;"planoamap@planoamap.com.br";"ALBERT CARVALHO JUNQUEIRA";"Representante da Empresa ";;"2024-04-09"
"419435";"20088388000131";"CLASSE ADMINISTRADORA DE BENEFÃCIOS LTDA - ME";"CLASSE ADMINISTRADORA";"Administradora de BenefÃ­cios";"SBS - QD 02 - BLOCO A";"01";"SL 205 -  ED. CASA DE SÃƒO PAULO";"ASA SUL";"BrasÃ­lia";"DF";"70070120";"61";"38791163";"38791164";"CANALANS@CLASSEADMINISTRADORA.COM.BR";"FRANCISCO NOGUEIRA DA SILVA";"REPRESENTANTE";4;"2014-08-04"
"423327";"43383373000100";"CLICSAUDE ADMINISTRADORA DE BENEFICIOS LTDA";"CLICSAUDE ADMINISTRADORA DE BENEFICIOS";"Administradora de BenefÃ­cios";"RUA GUSTAVO AMBRUST";"36";"CONJ 02";"NOVA CAMPINAS";"Campinas";"SP";"13092106";"19";"971051974";;"luciano@clicsaude.adm.br";"LUCIANO ANTONIO BUZO";"Diretor";;"2022-07-14"
"410071";"03447952000146";"CLINICA ODONTOLOGICA ODONTOPLAN LTDA";"ODONTOPLAN";"Odontologia de Grupo";"RUA BENTO GONÃ‡ALVES";"1731";"SALA 112";"BOA VISTA";"Novo Hamburgo";"RS";"93410395";;;"30366610";"ana@clinicaodontoplan.com.br";"ANA GICIELI FRACALOSSI";"SÃ“CIA ADMINISTRADORA";6;"1999-12-07"
"340782";"76882612000117";"CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA";"GNDI SUL";"Medicina de Grupo";"RUA XV DE NOVEMBRO";"575";"4Âº E 5Âº ANDARES ";"CENTRO";"Curitiba";"PR";"80020310";"41";"30213000";"30213060";"ans@hapvida.com.br";"LUIZ CELSO DIAS LOPES";"DIRETOR EXECUTIVO";4;"1998-12-22"
"417891";"09585273000110";"CLUBE DE BENEFICIOS PARA COOP., ASS., CONS., SIND. E SEGUROS - CBCACSS";;"Administradora de BenefÃ­cios";"RUA DA ASSEMBLEIA";"10";"SALA 3811 - A";"CENTRO";"Rio de Janeiro";"RJ";"20011000";"21";"84282619";;"CBCACSS@CBCACSS.COM.BR";"ANTONIO CARLOS ANTUNES BASTOS";"DIRETOR PRESIDENTE";3;"2011-02-22"
"422461";"38046343000160";"CLUBE SILVER ADMINISTRADORA DE PLANOS DE SAUDE LTDA";"AMESAÃšDE";"Administradora de BenefÃ­cios";"RUA QUINZE DE NOVEMBRO";"228";"AP 304";"CENTRO";"NiterÃ³i";"RJ";"24020125";"21";"35531692";;"carlaoliveira1986@gmail.com";"CARLA NAZARÃ‰ OLIVEIRA DOS SANTOS";"REPRESENTANTE LEGAL";;"2021-02-09"
"415944";"51262335000119";"CLÃNICA SÃƒO GABRIEL S/S LTDA";;"Medicina de Grupo";"PRAÃ‡A DA INDEPENDENCIA";"17";;"CENTRO";"Ferraz de Vasconcelos";"SP";"08500901";"11";"46755166";"46765514";"info@saogabrielsaude.com.br";"JOSE CARLOS ABISSAMRA";"SOCIO-GERENTE";6;"2007-03-08"
"419796";"14372148000161";"COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA";"CODEBA";"AutogestÃ£o";"AV. DA FRANÃ§A";"1551";"ESTAÃ§Ã£O MARITIMA VISC. DE CAIRU";"COMERCIO";"Salvador";"BA";"40010000";"71";"33201294";"33201302";"JAILTON@CODEBA.COM.BR";"NEWTON FERREIRA DIAS";"DIRETOR ADMINISTRATIVO/ FINANC";;"2015-06-26"
"330051";"47902648000117";"COMPANHIA DE ENGENHARIA DE TRAFEGO - CET";;"AutogestÃ£o";"RUA BARÃƒO DE ITAPETININGA";"18";;"CENTRO";"SÃ£o Paulo";"SP";"05425904";"11";"30302378";"30302066";"dcp@cetsp.com.br";"RICARDO RIBEIRO";"REPRESENTANTE";;"1998-12-28"
"416509";"27316538000166";"COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA";"CODESA";"AutogestÃ£o";"AVENIDA GETULIO VARGAS";"556";;"CENTRO";"VitÃ³ria";"ES";"29010945";"27";"31327300";;"autogestao@vports.com.br";"SAMUEL GONCALVES DE AGUIAR RIBEIRO";"Supervisor de Am de Pessoal";5;"2008-01-22"
"392405";"28151363000147";"COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO";"CESAN";"AutogestÃ£o";"AV. GOVERNADOR BLEY";"186";"3Âº PAV";"CENTRO";"VitÃ³ria";"ES";"29010150";"27";"21275000";"21275353";"amscesan@cesan.com.br";"LEANDRO REZENDE DE ABREU";"GERENTE DE RECURSOS HUMANOS";1;"1998-12-28"
"334189";"26461699000180";"COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB";"COMPANHIA NACIONAL DE ABASTECIMENTO - C0NAB";"AutogestÃ£o";"SGAS QUADRA 901, CONJUNTO ""A"", EDIFÃCIO ";"69";"ASA SUL";"PLANO PILOTO";"BrasÃ­lia";"DF";"70390010";"61";"33126072";;"conab.gesas@conab.gov.br";"NILDA MARIA DOMINGOS MENDES";"SUPERINT DE DESENV. DE PESSOAS";4;"1999-01-05"
"420247";"23920704000188";"COMPAR ADMINISTRADORA DE BENEFICIOS LTDA - ME";"COMPAR ADMINISTRADORA DE BENEFICIOS";"Administradora de BenefÃ­cios";"RUA XV DE NOVEMBRO";"1234";"CONJ 1203, ANDAR 12, COND EUGENIA CAMPOS";"CENTRO";"Curitiba";"PR";"80060000";"41";"31140469";;"COMPAR@COMPARADM.COM.BR";"ALMIR RODRIGUES";"REPRESENTANTE LEGAL";6;"2016-10-25"
"390259";"70094578000130";"COMSEDER - COOPERATIVA DE ASSISTÃŠNCIA MÃ‰DICA DOS SERVIDORES DA SUPLAN E DO DER LTDA";"COMSEDER";"AutogestÃ£o";"AV. MAXIMIANO DE FIGUEIREDO";"311";"CASA";"CENTRO";"JoÃ£o Pessoa";"PB";"58013470";"83";"32162904";"32417196";"comseder@comseder.com.br";"FRANCISCO FERNANDES LISBOA";"DIRETOR PRESIDENTE";5;"1998-12-29"
"321931";"29640612000120";"CONFERÃŠNCIA SÃƒO JOSÃ‰ DO AVAÃ";"HOSPITAL SÃƒO JOSÃ‰ DO AVAÃ";"Filantropia";"RUA CORONEL LUIZ FERRAZ";"397";;"CENTRO";"Itaperuna";"RJ";"28300000";;;;"saudeavai@saudeavai.com.br";"AUGUSTO CLAUDIO DE ALMEIDA TINOCO";"REPRESENTANTE JUNTO A ANS";5;"1998-12-16"
"410624";"03613857000175";"CONFIANÃ‡A ASSISTÃŠNCIA MÃ‰DICO HOSPITALAR LTDA";"CONFIANÃ‡A SAÃšDE";"Medicina de Grupo";"RUA LORENA";"767";;"PADRE EUSTÃQUIO";"Belo Horizonte";"MG";"30730170";"31";"34112025";"34112025";"gerencia@confiancasaude.com.br";"ROBERTO D'ASSUMPCAO GUIMARAES";"ADMINISTRADOR ";4;"2000-02-21"
"405931";"60537495000114";"CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA";"CONSTRUDENTE";"Odontologia de Grupo";"RUA VOLUNTÃRIOS DA PATRIA";"2505";"CS 19";"SANTANA";"SÃ£o Paulo";"SP";"02401000";"11";"30786904";"30786904";"lia@construdente.com.br";"LIA ROSSI GILOS";"SÃ“CIA ADMINISTRADORA";4;"1999-06-30"
"418323";"13286268000183";"CONTEM ADMINISTRADORA DE PLANOS DE SAÃšDE LTDA.";"CONTEM ADMINISTRADORA DE BENEFICIOS";"Administradora de BenefÃ­cios";"RUA DO CARMO";"08";"10Âº ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20011020";"21";"35274747";;"juridico@grupocontem.com.br";"ANDREA DOS SANTOS MOURA";"PRESIDENTE";4;"2011-12-21"
"407241";"02298249000150";"COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÃ“GICO";"ODONTOCLASSIC";"Cooperativa odontolÃ³gica";"RUA RIO DE JANEIRO";"821";;"CENTRO";"AvarÃ©";"SP";"18700130";"14";"9292";"37332022";"diretoria@odontoclassic.com.br";"JOSE ROBERTO SOUTO SILVA";"DIRETOR OPERACIONAL";5;"1999-08-16"
"367087";"87158507000156";"COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÃŠNCIA Ã€ SAÃšDE DO RIO GRANDE DO SUL LTDA.";"UNIMED RIO GRANDE DO SUL";"Cooperativa MÃ©dica";"RUA SANTA TEREZINHA";"340";;"FARROUPILHA";"Porto Alegre";"RS";"90040180";"05";"132011370";"133303085";"unimedrs@unimedrs.com.br";"PAULO ROBERTO DE OLIVEIRA WEBSTER";"REPRESENTANTE JUNTO A ANS";3;"1998-12-18"
"353477";"01041724000146";"COOPERATIVA DE ASSISTÃŠNCIA ODONTOLÃ“GICA VALE DO CAÃ LTDA - DENTSUL";"DENTSUL";"Cooperativa odontolÃ³gica";"RUA CAPITAO PORFIRIO";"1551";;"CENTRO";"Montenegro";"RS";"95780000";"51";"36322297";"516322297";"gerencia@dentsul.com.br";"DENISE GIRON";"PRESIDENTE";5;"1998-12-22"
"418242";"01750093000134";"COOPERATIVA DE SAÃšDE ODONTOLÃ“GICA - UNIODONTO RORAIMA";"UNIODONTO DE RORAIMA";"Cooperativa odontolÃ³gica";"AVENIDA CAPITÃƒO JULIO BEZERRA";"952";;"SÃƒO FRANCISCO";"Boa Vista";"RR";"69305025";"95";"36234900";"36234900";"diretoria@uniodontorr.com.br";"GILENIO PINHEIRO DA SILVA";"PRESIDENTE";6;"2011-09-27"
"313084";"25064148000110";"COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÃNA - UNIMED ARAGUAÃNA";"UNIMED DE ARAGUAINA";"Cooperativa MÃ©dica";"AVENIDA TOCANTINS";"1232";"LT- 17 QD RT-1";"CENTRO";"AraguaÃ­na";"TO";"77803120";;;;"gerente@unimedaraguaina.com.br";"RENATO BORGES AZEVEDO";"PRESIDENTE";5;"1998-12-24"
"318213";"85246916000189";"COOPERATIVA DE TRABALHO MEDICO REGIÃƒO DO PLANALTO SERRANO";"UNIMED LAGES";"Cooperativa MÃ©dica";"RUA FREI GABRIEL";"115";;"CENTRO";"Lages";"SC";"88502030";"49";"32216600";;"adriana.zampirolo@unimedlages.coop.br";"ALCEU FERNANDES FILHO";"PRESIDENTE";5;"1998-12-17"
"337188";"21490586000190";"COOPERATIVA DE TRABALHO MÃ‰DICO DE POUSO ALEGRE";"UNIMED SUL MINEIRA";"Cooperativa MÃ©dica";"AV. MARECHAL CASTELO BRANCO";"75";;"CEL EVARISTO AZEVEDO JUNQUEIRA";"Pouso Alegre";"MG";"37550275";"35";"34491800";;"unimed@unimedsulmineira.com.br";"MARCELO COUTO LUNA DE ALMEIDA";"DIRETOR PRESIDENTE";5;"1998-12-18"
"317012";"85177194000158";"COOPERATIVA DE TRABALHO MÃ‰DICO DO PLANALTO NORTE DE SANTA CATARINA LTDA";"UNIMED PLANALTO NORTE";"Cooperativa MÃ©dica";"AVENIDA DOM PEDRO II";"373";"-";"CENTRO";"SÃ£o Bento do Sul";"SC";"89280136";"47";"36314183";"36314183";"alisson.schneider@upn.unimedsc.com.br";"ERI GARCIA BUEMO";"PRESIDENTE";5;"1998-12-17"
"419028";"25906728000108";"COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÃ";;"Cooperativa odontolÃ³gica";"RUA ALCIDES FARIA";"240";;"VARGINHA";"ItajubÃ¡";"MG";"37501058";"35";"36220258";"36220258";"uniodonto@uniodontoitajuba.com.br";"ALEXANDRE JULIO DIELLE";"DIRETOR PRESIDENTE";5;"2013-09-11"
"359459";"02725037000102";"COOPERATIVA DOS CIRURGIÃ•ES DENTISTAS DO ESTADO DE SERGIPE";"COOPERDONTO";"Cooperativa odontolÃ³gica";"AVENIDA BARÃƒO DE MARUIM";"993";;"CENTRO";"Aracaju";"SE";"49015040";"79";"32146343";"32145556";"contato@cooperdonto-se.com.br";"JOÃƒO TELES DE MELO FILHO";"PRESIDENTE";3;"1998-12-30"
"404241";"72350382000194";"COOPERATIVA DOS USUÃRIOS DE SERVIÃ‡OS DE SAÃšDE DO VALE DO RIO DOS SINOS LTDA";"COOPERSINOS LTDA";"AutogestÃ£o";"AV. UNISINOS";"950";"CENTRO COMUNITÃ";"CRISTO REI";"SÃ£o Leopoldo";"RS";"93022000";"51";"35908509";"35908590";"clovisk@unisinos.br";"CLÃ“VIS ANTÃ”NIO KRONBAUER";"PRESIDENTE";6;"1999-05-19"
"406805";"03268622000193";"COOPERATIVA DOS USUÃRIOS DE SERVIÃ‡OS DE SAÃšDE LTDA.";"COOPUSAÃšDE";"Medicina de Grupo";"PEDRO ALVARES CABRAL";"900";;"CENTRO";"Erechim";"RS";"99700252";"54";"35202900";"35226869";"administracao@coopusaude.coop.br";"DILVA MARIA GALINA LOCH";"VICE-PRESIDENTE";5;"1999-08-02"
"400572";"02947180000149";"COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÃ“GICA DE BOTUCATU";"EVIDENTE";"Cooperativa odontolÃ³gica";"RUA DR CARDOSO DE ALMEIDA";"579";;"CENTRO";"Botucatu";"SP";"18600005";"14";"38824142";"38824142";"evidente@evidente.com.br";"JOÃƒO ANTONIO GODOY";"PRESIDENTE";5;"1999-02-18"
"342335";"01501597000110";"COOPERATIVA ODONTOLÃ“GICA DE GARANHUNS E AGRESTE MERIDIONAL.";"UNIODONTO GARANHUNS";"Cooperativa odontolÃ³gica";"R DR JOSE MARIANO";"193";;"SAO JOSE";"Garanhuns";"PE";"55293335";"87";"37621760";"37621760";"uniodonto@uniodontogaranhuns.coop.br";"DANIEL VALENCA ARRUDA VIEIRA";"PRESIDENTE";5;"1998-12-18"
"365785";"02254846000183";"COOPERATIVA ODONTOLÃ“GICA DO ESTADO DO AMAPÃ";"UNIODONTO AMAPÃ";"Cooperativa odontolÃ³gica";"RUA MARCELO CÃ‚NDIA";"925";;"SANTA RITA";"MacapÃ¡";"AP";"68901341";"96";"91515691";;"uniodontoap@uniodontoap.com.br";"CLAUDIO VALENTE CALANDRINI DE AZEVEDO";"DIRETOR PRESIDENTE";6;"1999-01-04"
"409791";"03494031000134";"COOPERATIVA ODONTOLÃ“GICA POÃ‡OS DE CALDAS";"UNIODONTO POÃ‡OS DE CALDAS";"Cooperativa odontolÃ³gica";"RUA PARAIBA ";"212";;"CENTRO ";"PoÃ§os de Caldas";"MG";"37701726";"35";"37167222";"37167222";"ouvidoria@uniodontopocos.com.br";"FERNANDO DE PAIVA POSSO";"PRESIDENTE";5;"1999-11-11"
"402010";"00491998000174";"COOPERATIVA ODONTOLÃ“GICA REGIÃƒO SUL DA BAHIA - UNIODONTO";"UNIODONTO ITABUNA";"Cooperativa odontolÃ³gica";"RUA MARIÃ FERREIRA";"245";"1Âº ANDAR";"CENTRO";"Itabuna";"BA";"45600120";"07";"336134760";"36134760";"uniodontoitb@gmail.com";"MARIO AUGUSTO DIAS BRUM";"PRESIDENTE";5;"1999-03-12"
"353892";"19052653000142";"COOPERCISO - CENTRO INTEGRADO DE SERVIÃ‡O ODONTOLÃ“GICO S/S LTDA.";"COOPERCISO";"Odontologia de Grupo";"RUA JAIME MARTINS RIÃŠRA";"31";;"BOA VISTA";"ItajubÃ¡";"MG";"37505042";"35";"36234600";"36234600";"cooperciso@cooperciso.com.br";"LUCAS PEREIRA GONÃ‡ALVES";"DIRETOR ADMINISTRATIVO";5;"1999-01-25"
"418757";"73505463000189";"CORPLIFE ADMINISTRADORA DE BENEFÃCIOS LTDA ";"CORPLIFE ADMINISTRADORA DE BENEFÃCIOS LTDA ";"Administradora de BenefÃ­cios";"RUA VITÃ“RIA";"2296";;"NEVA";"Cascavel";"PR";"85802229";"45";"32240204";;"corplife@corplife.com.br";"ARISTIDES ALVES DOS REIS";"ADMINISTRADOR";6;"2013-01-11"
"418960";"17670901000193";"CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA";;"Administradora de BenefÃ­cios";"ALAMEDA RIO NEGRO";"500";"9Âº ANDAR / SALA 901 A 916 / TORRE 2";"ALPHAVILLE CENTRO INDUSTRIAL E";"Barueri";"SP";"06454000";"11";"43494200";;"valquiria.brovini@corpesaude.com.br";"DIRCEU CANAL";"SÃ³CIO ADMINISTRADOR";4;"2013-08-01"
"368181";"19009638000111";"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA";"CROE-CENTRO DE REABILITAÃ‡AO ORAL ESPECIALIZADO LTDA";"Odontologia de Grupo";"OSCAR VIDAL ";"252";"Sala 201";"CENTRO";"Juiz de Fora";"MG";"36016290";"32";"33116699";;"ceaccroe@croe.com.br";"CLAUDIA CABRINI PINTO DE LUCCA";"SOCIO QUOTISTA";6;"1999-01-05"
"397245";"69099307000198";"CROWN ODONTOLOGIA DE GRUPO LTDA";"CROWN ODONTOLOGIA DE GRUPO LTDA";"Odontologia de Grupo";"RUA PEQUETITA";"145";"CONJ. 101";"JARDIM PROF BENOÃ";"SÃ£o Paulo";"SP";"04552060";"11";"28132000";"28132001";"crown@crownodonto.com.br";"WALTER CARMO CORIOLANO JUNIOR";"SOCIO ADMINISTRADOR";4;"1998-12-24"
"421952";"33803129000197";"CRZ PLANO ODONTOLÃ“GICO LTDA";"CRUZ DENTAL";"Odontologia de Grupo";"AVENIDA RODOVALHO";"722";"SALA 13";"VILA MOEMA";"TubarÃ£o";"SC";"88705091";"48";"31910205";;"crzdental@gmail.com";"DANIELE NIEHUES CRUZ";"SÃ“CIA-ADMINISTRADORA";5;"2019-12-03"
"422045";"34824393000170";"CTESK ADMINISTRADORA DE BENEFIÃCIOS LTDA";"CTESK ADMINISTRADORA DE BENEFIÃCIOS ";"Administradora de BenefÃ­cios";"Q SCN QUADRA 02, BLOCO D, ENTRADA B";"SN";"SALAS 201 E 203";"ASA NORTE";"BrasÃ­lia";"DF";"70712904";"61";"32573926";;"siloe@ctesk.com.br";"SILOÃ‰ JOÃƒO DE ALMEIDA JUNIOR";"Administrador";;"2019-12-18"
"419737";"11973274000183";"D1 ADMINISTRADORA DE BENEFÃCIOS PRIVADOS DE ASSISTÃŠNCIA A SAÃšDE  COLETIVOS LTDA";;"Administradora de BenefÃ­cios";"RUA DOS CEDROS";"501";"SALA 03";"JARDIM SÃ£O PAULO";"Americana";"SP";"13468020";"19";"34622553";;"celso@solucaodinamica.com.br";"CELSO RONALDO SOARES";"SÃ³CIO";6;"2015-04-06"
"416118";"00253137000158";"DANA INDUSTRIAS LTDA.";;"AutogestÃ£o";"AVENIDA FERNANDO STECCA";"780";"PRÃ‰DIO 26 - ADMINISTRAÃ‡ÃƒO";"IPORANGA";"Sorocaba";"SP";"18087149";;;;"juliana.miranda@dana.com";"JULIANA DOS REIS MIRANDA";"COORDENADORA DE RH";;"2007-06-14"
"421081";"27832058000158";"DELFHI PLANOS ODONTOLÃ“GICOS LTDA";"DELFHI ODONTO";"Odontologia de Grupo";"AV. PRUDENTE DE MORAIS";"624";;"TIROL";"Natal";"RN";"59020510";"84";"999862109";;"delfino@delfhicorretora.com.br";"FRANCISCO DELFINO DA SILVA";"SÃ“CIO ADMINISTRADOR";5;"2017-10-02"
"420239";"24619902000179";"DENTAL CARE ASSISTÃŠNCIA ODONTOLÃ“GICA LTDA";"DENTAL CARE";"Odontologia de Grupo";"RUA DO IMPERADOR";"359";;"CENTRO";"MaceiÃ³";"AL";"57020670";"82";"30220163";"30220163";"financeiro@planodentalcare.com.br";"LEONINO VIEIRA DA SILVA FILHO";"SÃ³CIO ADMINISTRADOR";5;"2016-10-25"
"386219";"66493529000100";"DENTAL CARE CLINICA ODONTOLOGICA LTDA";"ODONTOLOGICA";"Odontologia de Grupo";"RUA MATO GROSSO";"1001";;"CENTRO";"AvarÃ©";"SP";"18700150";"14";"37322286";"37322286";"odontologica_avare@terra.com.br";"HILTON SERGIO ISMAEL LUTTI";"SOCIO";5;"1999-01-20"
"339458";"35436658000125";"DENTAL CENTER LTDA";"DENTAL CENTER LTDA";"Odontologia de Grupo";"RUA DES. JOSE PEREGRINO";"216";;"CENTRO";"JoÃ£o Pessoa";"PB";"58013500";"83";"30414646";;"financeiro@dentalcenterpb.com.br";"MARCONI MARTINS DA SILVA";"SOCIO GERENTE";5;"1999-01-15"
"300730";"01402285000150";"DENTAL GOLD ASSISTÃŠNCIA ODONTOLÃ“GICA LTDA.";"DENTAL GOLD";"Odontologia de Grupo";"AVENIDA RUY CARNEIRO";"895";;"JARDIM MIRAMAR";"JoÃ£o Pessoa";"PB";"58032101";"83";"21078900";"21078914";"gerencia@dentalgold.com.br";"JOSUEL GOMES DA SILVA";"SOCIO-GERENTE";5;"1998-12-22"
"413747";"04212174000179";"DENTAL MASTER LTDA - EPP";"DENTAL MASTER";"Odontologia de Grupo";"AVENIDA CARAVELAS";"03";"SALA 32 - ED. GALERIA DIVAMAR";"PRAIA DO FRANCES";"Marechal Deodoro";"AL";"57160000";"82";"21239393";;"financeiro@master.dental";"GEORGE DE ALMEIDA SALDANHA";"REPRESENTANTE";5;"2001-05-25"
"314366";"00571628000147";"DENTAL PLUS CONVÃŠNIO ODONTOLÃ“GICO LTDA.";"DENTAL PLUS CONVÃŠNIO ODONTOLÃ“GICO";"Odontologia de Grupo";"RUA DOUTOR CESÃRIO MOTA";"135";;"CENTRO";"Santo AndrÃ©";"SP";"09010100";"11";"49792200";;"administrativo@dentalplus-sorria.com.br";"GABRIELA GONSALES FERNANDES BARCELLOS";"SÃ“CIA";6;"1998-12-23"
"304484";"78738101000151";"DENTAL UNI - COOPERATIVA ODONTOLÃ“GICA";"DENTAL UNI";"Cooperativa odontolÃ³gica";"RUA IRMÃƒ FLAVIA BORLET";"197";;"HAUER";"Curitiba";"PR";"81630170";"41";"30203950";;"diretoria@dentaluni.com.br";"LUIZ HUMBERTO DE SOUZA DANIEL";"PRESIDENTE";4;"1998-12-22"
"423050";"43192903000124";"DENTAL WHITE PLANO DE ASSISTÃŠNCIA ODONTOLÃ“GICA LTDA";"DENTAL WHITE";"Odontologia de Grupo";"RUA DEPUTADO JOSÃ‰ LAGES";"275";;"PONTA VERDE";"MaceiÃ³";"AL";"57035330";"82";"30214141";;"contato@planodentalwhite.com.br";"CRISTIANO MORAES DOS SANTOS";"DIR ADM FIN";;"2021-11-22"
"333620";"00073193000100";"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA";"ORALMED ASSISTENCIA ODONTOLOGICA";"Odontologia de Grupo";"AV. RIO DE JANEIRO";"1201";"TERREO";"CENTRO";"Londrina";"PR";"86010150";"43";"33247000";"33247000";"oralmed@onda.com.br";"ROBERTO PRESCINOTTI";"SOCIO ADMINISTRADOR";6;"1999-01-25"
"401463";"01364933000120";"DENTALMASTER COMÃ‰RCIO DE PLANOS ODONTOLÃ“GICOS LTDA";"DENTALMASTER";"Odontologia de Grupo";"RUA CARLOS VASCONCELOS ";"1482";;"ALDEOTA";"Fortaleza";"CE";"60115171";"85";"32655555";"32655555";"dentalmaster@planodentalmaster.com.br";"FRANCISCO FERNANDO ROCHA NOVAIS";"SÃ“CIO";6;"1999-03-04"
"422975";"39527909000138";"DENTALMASTER LTDA";"DENTALMASTER";"Odontologia de Grupo";"AV. DOM PEDRO II";"421.0";"SALA A ";"CENTRO ";"SÃ£o LourenÃ§o";"MG";"37465000";"35";"988970186";;"administrativo@dentalmastermg.com.br";"DANIEL PEREIRA PAIVA ";"SÃ³cio administrador ";;"2021-10-04"
"322890";"02156150000114";"DENTALPAR ASSISTÃŠNCIA ODONTOLÃ“GICA EMPRESARIAL LTDA.";"DENTALPAR";"Odontologia de Grupo";"AV. SANTO AMARO";"3330";"CONJUNTO 13";"BROOKLIN";"SÃ£o Paulo";"SP";"04556300";"11";"50944002";"33052151";"armando@dentalpar.com.br";"ARMANDO RODRIGUES FILHO";"DIRETOR PRESIDENTE";4;"1998-12-30"
"416908";"05616674000139";"DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA";"DENTALPLAN VALE DO SÃƒO FRANCISCO";"Odontologia de Grupo";"RUA CASTRO ALVES";"352";;"CENTRO";"Petrolina";"PE";"56304340";;;;"gerencia@dentalplanvsf.com.br";"DIÃ“GENES CAVALCANTI";"DIRETOR ADMINISTRATIVO E FINANCEIRO";5;"2009-03-02"
"327867";"01060301000173";"DENTIÃ‡ÃƒO CONVÃŠNIOS ODONTOLÃ“GICOS LTDA";"DENTALPREV";"Odontologia de Grupo";"RUA ELIZEU DI BERNARDI";"34";"SALA 411";"CAMPINAS";"SÃ£o JosÃ©";"SC";"88101050";;;;"financeirofloripa@dentalprev.com.br";"CLAUDIO JOAO BUCCO";"ADMINISTRADOR";5;"1998-12-21"
"414425";"03113408000168";"DENTSY ODONTOLOGIA S/S LTDA.";"DENTSY ODONTOLOGIA";"Odontologia de Grupo";"RUA CANDIDO PORTINARI";"30";"SALA 1";"VILA CERCADO GRANDE";"Embu das Artes";"SP";"06804180";"11";"32842180";;"oscar@dentsy.com.br";"OSCAR COELHO DE OLIVEIRA";"SOCIO ADMINISTRADOR";4;"2003-01-13"
"357669";"19969500000164";"DESBAN - FUNDAÃ‡ÃƒO BDMG DE SEGURIDADE SOCIAL";"DESBAN";"AutogestÃ£o";"RUA BERNARDO GUIMARÃƒES";"1587";"9Âº ANDAR";"LOURDES";"Belo Horizonte";"MG";"30140082";"31";"32498500";"32498506";"desban@desban.org.br";"JULIANA RODRIGUES DE PAULA CHIARI";"REPRESENTANTE LEGAL";4;"1998-12-18"
